experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E4,full,1004,full,dubins,dubins,dubins,weighted_delay,20,3,2010.83768266417,20.1083768266417,23.42798153245763,18.060223912459133,82.84992579316436,192.4618024228426,84.36853573586968,10,0.039770299999872805,0.05247400000371272,0.005247400000371272,0.023260200001459452,0.09224430000358552,12,11,True,True,0.09427149999828544,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
E4,local,1004,local,dubins,dubins,dubins,weighted_delay,20,3,1986.8109505189816,19.868109505189818,22.60893724712944,18.696398406492996,83.31948887398518,199.0557481938905,84.36853573586968,10,0.04025580000052287,0.014551800000845105,0.0014551800000845105,0.004453400000784313,0.05480760000136797,4,3,True,True,0.05693749999954889,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
E4,no_reorder,1005,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1729.0243878349697,19.00026799818648,22.705853985953503,15.586426541074806,70.4376832319298,171.87928523879214,78.66747659875745,10,0.0402775999991718,0.00415679999787244,0.000415679999787244,0.0007260000002133893,0.04443439999704424,0,0,True,True,0.0463846000002377,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
E4,full,1005,full,dubins,dubins,dubins,weighted_delay,20,3,1634.9900971266575,17.966924144248985,21.803695054976707,14.573600276764234,73.81226747281673,170.73858790448307,78.66747659875745,10,0.039327700000285404,0.047563200003423844,0.004756320000342385,0.014986500000304659,0.08689090000370925,16,3,True,True,0.08928340000056778,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
E4,local,1005,local,dubins,dubins,dubins,weighted_delay,20,3,1671.482074595029,18.367934885659658,22.62438888918954,14.616350035176396,78.32138013232414,164.35860490818368,78.66747659875745,10,0.040302100000189967,0.02088729999923089,0.002088729999923089,0.004141199999139644,0.06118939999942086,12,3,True,True,0.06330340000022261,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
E4,no_reorder,1006,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1994.6122914652617,19.365167878303513,21.91542313492911,18.424675139127498,78.17485942103824,148.37515608443576,80.55442415556645,10,0.05786839999927906,0.005364499997085659,0.0005364499997085659,0.0013492999987647636,0.06323289999636472,0,0,True,True,0.06541800000013609,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
E4,full,1006,full,dubins,dubins,dubins,weighted_delay,20,3,2003.4769123025221,19.451232158276913,23.623093991381765,16.36825410031727,80.31154861665593,162.26311817353826,80.55442415556645,10,0.059658100000888226,0.07886729999881936,0.007886729999881936,0.02352719999908004,0.1385253999997076,9,6,True,True,0.14110000000073342,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
E4,local,1006,local,dubins,dubins,dubins,weighted_delay,20,3,1911.2653127513893,18.555973910207662,21.11848679402622,16.72006897695177,74.96648890858505,139.87530336901645,80.55442415556645,10,0.05603520000113349,0.0191357000003336,0.0019135700000333599,0.004338900000220747,0.07517090000146709,3,3,True,True,0.07774700000118173,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
E4,no_reorder,1007,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1933.7990367328014,19.53332360336163,26.89902902003515,15.984901641919107,74.66141918356462,160.53780842152582,85.7842610780996,10,0.07247219999953813,0.005702100001144572,0.0005702100001144572,0.0008894000002328539,0.0781743000006827,0,0,True,True,0.08019120000062685,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
E4,full,1007,full,dubins,dubins,dubins,weighted_delay,20,3,1908.3880515533147,19.276646985387018,26.15747642334204,16.08808530255119,73.6154177949979,158.70825628380464,85.7842610780996,10,0.0726288999994722,0.11495780000041123,0.011495780000041122,0.023714799999652314,0.18758669999988342,20,28,True,True,0.19015399999989313,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
