experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E2_v2,mission_completion,1003,local,dubins,dubins,dubins,makespan,20,3,2420.4921259551256,19.52009778996069,20.293960095785344,19.826831218323193,86.06021805024145,168.49687076074753,79.94105783304978,3,7,6,10,0.04692660000000615,0.01617929999883927,0.001617929999883927,0.005107900000439258,0.06310589999884542,6,3,True,True,0.06563069999901927,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
E2_v2,distance_oriented,1003,local,dubins,dubins,dubins,total_travel_time,20,3,9233.483705635746,74.46357827125603,72.15381527759268,83.69737728610289,181.9549413188363,102.01388348578652,79.94105783304978,1,20,20,10,0.04424950000066019,0.22994320000361768,0.02299432000036177,0.03875829999924463,0.27419270000427787,0,6,True,True,0.2779021999995166,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
E2_v2,time_aware,1004,local,dubins,dubins,dubins,weighted_delay,20,3,1986.8109505189816,19.868109505189818,22.60893724712944,18.696398406492996,98.25495966466805,199.0557481938905,84.36853573586968,3,7,6,10,0.04602580000027956,0.016557900000407244,0.0016557900000407245,0.00520900000083202,0.0625837000006868,4,3,True,True,0.06488200000057986,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
E2_v2,mission_completion,1004,local,dubins,dubins,dubins,makespan,20,3,2290.22160881764,22.902216088176402,22.076340250513276,25.65836868073896,92.91069310553009,182.20299572735416,84.36853573586968,3,8,5,10,0.06681449999996403,0.017094000000724918,0.0017094000000724917,0.005098699999507517,0.08390850000068895,4,2,True,True,0.08639950000178942,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
E2_v2,distance_oriented,1004,local,dubins,dubins,dubins,total_travel_time,20,3,7317.647503399618,73.17647503399617,78.12919408211658,77.3557734108752,194.35326907660078,109.9847333407311,84.36853573586968,1,20,20,10,0.044780600001104176,0.26043209999988903,0.026043209999988902,0.03975669999999809,0.3052127000009932,0,18,True,True,0.3092833000009705,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
E2_v2,time_aware,1005,local,dubins,dubins,dubins,weighted_delay,20,3,1671.482074595029,18.367934885659658,22.62438888918954,14.616350035176396,88.89047270389776,164.35860490818368,78.66747659875745,3,8,5,10,0.04926030000024184,0.023852199998145807,0.0023852199998145806,0.004453200001080404,0.07311249999838765,12,3,True,True,0.07565210000029765,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
E2_v2,mission_completion,1005,local,dubins,dubins,dubins,makespan,20,3,1929.2889717905684,21.20097771198427,23.420641932755963,16.356185679622428,86.12123526564237,166.48619178739006,78.66747659875745,3,7,6,10,0.1277513999993971,0.027080399997430504,0.0027080399997430503,0.005571300000156043,0.1548317999968276,7,7,True,True,0.157439799999338,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
E2_v2,distance_oriented,1005,local,dubins,dubins,dubins,total_travel_time,20,3,5996.039468570632,65.89054361066628,80.05370120281665,41.894065476042385,188.1679378765557,109.50046127779825,78.66747659875745,1,20,20,10,0.04190469999957713,0.3441170999958558,0.03441170999958558,0.06293479999840201,0.38602179999543296,0,8,True,True,0.39013599999998405,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
E2_v2,time_aware,1006,local,dubins,dubins,dubins,weighted_delay,20,3,1911.2653127513893,18.555973910207662,21.11848679402622,16.72006897695177,88.11669658856646,139.87530336901645,80.55442415556645,3,7,6,10,0.06554510000023583,0.023000700000920915,0.0023000700000920917,0.005115699999805656,0.08854580000115675,3,3,True,True,0.09155770000143093,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
E2_v2,mission_completion,1006,local,dubins,dubins,dubins,makespan,20,3,2540.3143850427527,24.663246456725755,23.035147089923335,29.409967498241695,89.85310168720636,158.80180571953812,80.55442415556645,3,7,6,10,0.06997120000050927,0.030774900000324124,0.0030774900000324124,0.007411100001263549,0.1007461000008334,6,9,True,True,0.1041681000006065,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
E2_v2,distance_oriented,1006,local,dubins,dubins,dubins,total_travel_time,20,3,7769.660164590049,75.43359383097135,72.03805554255726,88.50376073286044,177.85886522279588,97.30444106722936,80.55442415556645,1,20,20,10,0.04485559999920952,0.335099199999604,0.033509919999960405,0.06713979999949515,0.37995479999881354,0,26,True,True,0.3839693999998417,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
E2_v2,time_aware,1007,local,dubins,dubins,dubins,weighted_delay,20,3,1951.1481792903378,19.70856746757917,26.30710474434514,17.054677553807824,90.53608495500883,160.62753541763587,85.7842610780996,3,8,6,10,0.08364050000091083,0.05602759999783302,0.005602759999783302,0.012925799999720766,0.13966809999874386,9,14,True,True,0.14288420000048063,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
E2_v2,mission_completion,1007,local,dubins,dubins,dubins,makespan,20,3,2470.501948115597,24.954565132480777,27.108031891061927,21.348075910367136,84.86204948441056,162.09129874306012,85.7842610780996,3,8,6,10,0.046866399999998976,0.0762706999994407,0.00762706999994407,0.01907979999850795,0.12313709999943967,16,26,True,True,0.12581630000022415,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
E2_v2,distance_oriented,1007,local,dubins,dubins,dubins,total_travel_time,20,3,6406.340316718774,64.7105082496846,79.02266756331534,55.069266786967724,182.16061329463597,96.37635221653636,85.7842610780996,1,20,20,10,0.042929999999614665,0.33903469999859226,0.03390346999985923,0.061778199999025674,0.3819646999982069,0,16,True,True,0.38583830000061425,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
E2_v2,time_aware,1008,local,dubins,dubins,dubins,weighted_delay,20,3,1809.24686020484,19.247307023455743,26.96903352147059,13.498625965504738,85.57256928861848,163.49986420522217,79.08222261045597,3,7,6,10,0.04556140000022424,0.05202629999621422,0.005202629999621422,0.014097200000833254,0.09758769999643846,5,12,True,True,0.10044809999999416,130410a7df0436f226a401880941e077afad804faf45245d2c0e49964e8989a7
E2_v2,mission_completion,1008,local,dubins,dubins,dubins,makespan,20,3,2180.838871304867,23.200413524519863,27.302998111153716,24.19464628821217,88.27325939583751,158.9191103990345,79.08222261045597,3,7,6,10,0.08077159999993455,0.06685839999954624,0.006685839999954623,0.013763400000243564,0.1476299999994808,12,19,True,True,0.15028480000000854,130410a7df0436f226a401880941e077afad804faf45245d2c0e49964e8989a7
E2_v2,distance_oriented,1008,local,dubins,dubins,dubins,total_travel_time,20,3,7550.974618999651,80.32951722340054,87.53631072525384,84.33559900145676,193.63555470534038,114.55333209488438,79.08222261045597,1,20,20,10,0.0542935999983456,0.440490699998918,0.0440490699998918,0.08321020000039425,0.4947842999972636,0,40,True,True,0.4985231999999087,130410a7df0436f226a401880941e077afad804faf45245d2c0e49964e8989a7
