scale,strategy,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
small,full,runner_wall_runtime,10,0.09065115000048532,0.029638032075311637,0.08884380000017694,0.0567733999996562,0.1468279000037,0.0722813074027554,0.10902099259821524
small,full,assignment_changes,10,4.0,3.366501646120693,3.5,0.0,11.0,1.913420662104282,6.086579337895718
small,full,successor_edge_changes,10,3.3,4.571651780264983,0.0,0.0,12.0,0.46646087021901206,6.133539129780988
small,full,total_travel_time,10,212.58406454846795,21.299058903142694,213.18171152128798,180.38141178351609,243.00743768295123,199.3827710706723,225.7853580262636
small,full,active_uav_count,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
small,local,weighted_delay,10,1873.3690245100374,227.15091937738254,1925.8019631150446,1392.973073249051,2125.5761577712465,1732.5794260546115,2014.1586229654633
small,local,weighted_mean_delay,10,17.696773803108094,1.2631845166251154,17.601012398063347,15.832101397719558,20.136560895341,16.91384392829963,18.479703677916557
small,local,high_priority_mean_delay,10,15.397713211766554,1.5494302440060153,15.447933104369206,12.759682217431555,17.592863577332757,14.437366397031099,16.35806002650201
small,local,mean_delay,10,20.24004300613664,2.1062183740400933,20.468440149187266,17.561607005966387,23.021930626769358,18.934595333050662,21.54549067922262
small,local,makespan,10,119.7705978795087,7.7041605271976925,119.01485717514026,109.2626968324549,129.3572462098148,114.99550971330908,124.54568604570832
small,local,initial_planning_runtime,10,0.0645696799998404,0.016734309169848208,0.0608014499994169,0.0427032000006875,0.0997140999970724,0.05419764771879268,0.07494171228088811
small,local,total_replanning_runtime,10,0.010719060001429111,0.00828901643989801,0.00744835000296,0.0022235000069485,0.0235422999976435,0.005581474384948161,0.01585664561791006
small,local,mean_replanning_runtime,10,0.0010719060001428702,0.0008289016439898054,0.00074483500029595,0.0002223500006948,0.0023542299997643,0.0005581474384947724,0.001585664561790968
small,local,max_replanning_runtime,10,0.00473339000091067,0.0045696051280137385,0.00302480000027565,0.0003633000014815,0.0123712999993585,0.001901119399337362,0.007565660602483978
small,local,total_algorithm_runtime,10,0.07528874000126956,0.0201213944917797,0.07248634999996281,0.0470327000002726,0.110440499985998,0.06281737048788272,0.0877601095146564
small,local,runner_wall_runtime,10,0.07745807999963286,0.020286675577144832,0.0749900500013609,0.0489461999968625,0.1126292000044486,0.06488426820820191,0.09003189179106381
small,local,assignment_changes,10,2.8,2.2010098692292237,2.5,0.0,6.0,1.4357999495023546,4.164200050497645
small,local,successor_edge_changes,10,2.4,2.633122354417533,1.5,0.0,7.0,0.7679738564185521,4.032026143581447
small,local,total_travel_time,10,214.77869857062691,23.355540430165817,219.753162280984,176.73533279514777,245.46845730057476,200.30278463690627,229.25461250434756
small,local,active_uav_count,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
medium,no_reorder,weighted_delay,10,5764.079001897116,527.8171199777946,5617.364313729162,5180.73931443285,6900.4890535133445,5436.934561613718,6091.223442180513
medium,no_reorder,weighted_mean_delay,10,21.058899049511897,1.4843346763992735,20.75890430010291,19.47646358809342,24.73293567567507,20.138898885583323,21.97889921344047
medium,no_reorder,high_priority_mean_delay,10,17.37558534543364,1.4385566428102032,17.038825591843814,15.858183176674965,20.168861952961628,16.48395870068232,18.267211990184965
medium,no_reorder,mean_delay,10,26.494417266654818,2.0198840814705097,26.235340592233165,23.46814161043892,29.71211107470468,25.24248014248989,27.746354390819747
medium,no_reorder,makespan,10,124.40419868084749,3.547921148778994,124.68967790714882,119.91873006666664,131.34643955971845,122.20517437023823,126.60322299145675
medium,no_reorder,initial_planning_runtime,10,0.8037112700010767,0.0462137373634329,0.8043077500005893,0.7541219999984605,0.9116319000022486,0.7750676988266513,0.8323548411755021
