scale,seed,comparison,scenario_fingerprint,local_weighted_delay,no_reorder_weighted_delay,difference_local_minus_no_reorder_weighted_delay,local_weighted_mean_delay,no_reorder_weighted_mean_delay,difference_local_minus_no_reorder_weighted_mean_delay,local_high_priority_mean_delay,no_reorder_high_priority_mean_delay,difference_local_minus_no_reorder_high_priority_mean_delay,local_mean_delay,no_reorder_mean_delay,difference_local_minus_no_reorder_mean_delay,local_makespan,no_reorder_makespan,difference_local_minus_no_reorder_makespan,local_total_replanning_runtime,no_reorder_total_replanning_runtime,difference_local_minus_no_reorder_total_replanning_runtime,local_total_algorithm_runtime,no_reorder_total_algorithm_runtime,difference_local_minus_no_reorder_total_algorithm_runtime,local_assignment_changes,no_reorder_assignment_changes,difference_local_minus_no_reorder_assignment_changes,local_successor_edge_changes,no_reorder_successor_edge_changes,difference_local_minus_no_reorder_successor_edge_changes,local_improvement_weighted_mean_delay_percent,local_improvement_high_priority_mean_delay_percent
medium,2005,local_vs_no_reorder,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,5317.37239580278,5315.793327310376,1.579068492404076,20.218145991645557,20.21214192893679,0.00600406270876519,17.35163160552346,16.354621224026726,0.9970103814967324,25.733872341020543,26.03633988201152,-0.3024675409909783,120.4165550081912,120.22594036324088,0.19061464495031544,0.1591043000153149,0.0383011000085389,0.120803200006776,0.8952829000190832,0.800685300011537,0.09459760000754613,15.0,0.0,15.0,21.0,0.0,21.0,-0.029705227332534462,-6.096199770325559
medium,2006,local_vs_no_reorder,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,5114.87893230226,5180.73931443285,-65.86038213058964,19.22886816654985,19.47646358809342,-0.2475954215435685,16.89320402188318,17.253560233898217,-0.36035621201503787,24.3644362752767,24.46573993668959,-0.10130366141289215,129.35076698855204,124.54166766458609,4.8090993239659525,0.1834174000105122,0.0317682000095373,0.15164920000097493,0.9761489000156872,0.7917675000135205,0.18438140000216674,14.0,0.0,14.0,13.0,0.0,13.0,1.271254508929082,2.08859045396928
medium,2007,local_vs_no_reorder,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,5571.479915088231,5666.003113853547,-94.52319876531601,20.2599269639572,20.60364768674017,-0.3437207227829724,16.124750086912986,16.718513250119038,-0.5937631632060523,24.94321505561845,25.21615106304083,-0.27293600742238056,117.90898186748134,119.91873006666664,-2.009748199185296,0.1508349000141606,0.0336979999920004,0.1171369000221602,0.9453054000186968,0.945329899994249,-2.4499975552205733e-05,16.0,0.0,16.0,15.0,0.0,15.0,1.6682517970067008,3.5515308946614894
medium,2008,local_vs_no_reorder,e731c197d7bbaac9d6ba09c757ab693dcf692adad87e97e8d7d7e66e6a3dad33,5396.025791897804,5270.368550193343,125.65724170446083,21.412800761499224,20.914160913465647,0.4986398480335765,16.822219963114943,16.353741124730508,0.46847883838443494,28.0160542835397,27.583201873858343,0.43285240968135597,129.04268579104664,131.34643955971845,-2.303753768671811,0.1979763000126695,0.0427997999940998,0.1551765000185697,1.0009184000155074,0.852071999994223,0.14884640002128435,16.0,0.0,16.0,25.0,0.0,25.0,-2.3842211509070186,-2.864658519486959
medium,2009,local_vs_no_reorder,4fe2e03f587c3c24d53a81c67b90ea42fadfb6aa861f808a7432fd94bed68b88,6614.5688743740775,6900.4890535133445,-285.920179139267,23.70813216621533,24.73293567567507,-1.0248035094597405,15.967304042236702,17.04529025096055,-1.0779862087238499,28.74251114630122,29.45563167819819,-0.7131205318969727,122.294534845878,125.47022586595445,-3.1756910200764423,0.5694966999944882,0.0745058000175049,0.49499089997698326,1.3753512999901432,0.9043552000221098,0.4709960999680334,28.0,0.0,28.0,53.0,0.0,53.0,4.1434770336124656,6.324246714796201
large,2000,local_vs_no_reorder,183d60e2cdcf2003365670fe670d0a73c568ebb9b656888f286b9c54178c5c24,13531.28665585756,13939.057062649692,-407.7704067921313,24.64715237861122,25.3899035749539,-0.7427511963426809,18.12342171499935,17.543795975020476,0.5796257399788729,33.13839557498387,35.26245470552466,-2.124059130540793,131.95366989604273,148.2140962069401,-16.260426310897373,2.6769612999851238,0.6019965000014054,2.0749647999837184,12.554764199987403,10.538236300002607,2.016527899984796,53.0,0.0,53.0,123.0,0.0,123.0,2.9253801384081446,-3.3038787090557027
large,2001,local_vs_no_reorder,672ec400c85f5432bd448ad022a995e3eba3983ac169c586f13c58af80dbb032,14162.736006229796,14459.013291907431,-296.2772856776355,25.33584258717316,25.865855620585748,-0.5300130334125868,17.67975711601334,16.759656895520884,0.9201002204924578,36.27794945575841,37.412749762805255,-1.134800307046845,147.4850445334453,146.3461669016467,1.1388776317985787,3.1667213999899104,0.5879853000369621,2.5787360999529483,13.088651799989748,10.288594800033025,2.8000569999567233,97.0,0.0,97.0,223.0,0.0,223.0,2.0490837078312905,-5.489970506128678
large,2002,local_vs_no_reorder,287020d0a030676a3694155855031eb29ffe46a067239b86b764cc30e5fc7854,12812.11103502144,12899.127399781431,-87.01636475999112,23.084884747786376,23.24167099059718,-0.1567862428108029,17.99372847791338,18.068610192775296,-0.07488171486191675,32.80103859362802,32.77429530718096,0.026743286447064918,134.9309545567839,134.42322233570198,0.5077322210819091,2.177622800045356,0.4608525000003283,1.7167703000450278,10.69447700004821,10.357420200001798,0.3370568000464118,70.0,0.0,70.0,121.0,0.0,121.0,0.6745910949098001,0.4144298541116244
large,2003,local_vs_no_reorder,e3a122e28070648af4b015f24fdcc90da1a9809f55d62de01aef15676acdde3a,11317.139481197524,11416.649170814324,-99.50968961679973,22.190469570975537,22.38558660943985,-0.19511703846431416,17.747109044055133,18.02737104718053,-0.2802620031253973,30.78795201658148,31.549168132003985,-0.7612161154225028,134.60027350967033,136.136761145608,-1.5364876359376751,1.3469621999465744,0.3091441000069608,1.0378180999396136,9.76161889994546,8.843077800003812,0.918541099941649,51.0,0.0,51.0,97.0,0.0,97.0,0.8716190550129904,1.5546471107290494
large,2004,local_vs_no_reorder,5aac2a05239d252e3c651a725c664b04504a5d0373e3ce8ede6112656572b924,12658.646621876267,12835.747079951489,-177.10045807522147,22.68574663418686,23.003130967654997,-0.3173843334681372,18.782568407227306,18.02903288146589,0.7535355257614142,30.232776145164323,32.14241121127327,-1.9096350661089474,131.40202154823723,133.8459373444569,-2.4439157962196703,2.261588299974392,0.4525218000053428,1.8090664999690493,10.874880499977737,8.794970700000704,2.079909799977033,54.0,0.0,54.0,119.0,0.0,119.0,1.3797440614254446,-4.179567094450528
large,2005,local_vs_no_reorder,59e390d8ef25a6588f8918b95a9158b488d1d17ade16884f1deeb11a95f4303b,15242.112172587797,15331.669579933056,-89.55740734525898,26.693716589470743,26.85055968464633,-0.1568430951755886,22.763200270123956,22.82227865667957,-0.05907838655561193,32.468996294178694,33.40916207431944,-0.9401657801407453,130.71909969743493,140.67004246194116,-9.950942764506237,1.9744879999780096,0.4053466000186745,1.569141399959335,10.225951099972008,9.040693900016777,1.185257199955231,67.0,0.0,67.0,134.0,0.0,134.0,0.5841334296851716,0.25886278685989583
large,2006,local_vs_no_reorder,48b5e329a79874f5d8f4afff12ddf78ebd313ea5a79d03fcb9c2548d53cb7b83,14446.755061989172,15069.815503041824,-623.0604410526521,25.569477985821543,26.67223982839261,-1.1027618425710664,20.271833920765896,20.11167039696253,0.16016352380336585,32.990280597560776,35.46185984356386,-2.471579246003081,127.37535439401992,135.33719689677562,-7.961842502755701,2.4068201999762096,0.4799781999827246,1.926841999993485,10.845473499975924,8.915261099980853,1.9302123999950709,61.0,0.0,61.0,144.0,0.0,144.0,4.134492827247212,-0.7963710653668796
large,2007,local_vs_no_reorder,54774571656a56f4f8198bd40ccc8a35c1532e0ca7629d3d7384174f64e47630,13149.861229945269,13310.677722381892,-160.81649243662287,23.06993198236012,23.352066179617356,-0.28213419725723554,17.189085817613865,17.533826340629687,-0.3447405230158225,30.004900085212302,30.468229033194994,-0.4633289479826921,130.57504133871217,126.57122729744366,4.003814041268512,1.7362345000146888,0.3654234000277938,1.370811099986895,10.265834100013308,9.239353300028595,1.0264807999847125,48.0,0.0,48.0,106.0,0.0,106.0,1.208176591686323,1.9661454169703034
large,2008,local_vs_no_reorder,e76b36348fd3ef603dc1c44588c3e0f9798957fd56a82cbf459b2f2bcd492dd8,11939.092166319797,11991.164997876644,-52.07283155684672,22.87182407340957,22.971580455702387,-0.09975638229281714,18.489848998100904,18.87902099265521,-0.3891719945543066,29.920221607585507,29.80684573754365,0.11337587004185679,132.4873572249184,132.5325609066118,-0.04520368169337985,1.2062059000163572,0.2732198000012431,0.9329861000151141,9.861238700017566,8.648989399996935,1.2122493000206305,62.0,0.0,62.0,76.0,0.0,76.0,0.4342599869659989,2.0613992362512445
large,2009,local_vs_no_reorder,769187e338af9678836384880be1cf9469f8b022b5fbd8a649a7e27f201cc207,11730.145154676233,11917.497713534738,-187.3525588585053,23.366823017283327,23.74003528592577,-0.37321226864244395,16.431007702774664,16.315745611665164,0.11526209110949992,33.102295869905504,34.506298981755414,-1.4040031118499101,132.99968868777762,133.05497996935787,-0.05529128158025287,2.063064400019357,0.4545576000236906,1.6085067999956664,10.39047390002088,8.932129300024826,1.4583445999960531,67.0,0.0,67.0,133.0,0.0,133.0,1.5720796711018454,-0.7064469736957146
