scale,seed,comparison,scenario_fingerprint,local_weighted_delay,full_weighted_delay,difference_local_minus_full_weighted_delay,local_weighted_mean_delay,full_weighted_mean_delay,difference_local_minus_full_weighted_mean_delay,local_high_priority_mean_delay,full_high_priority_mean_delay,difference_local_minus_full_high_priority_mean_delay,local_mean_delay,full_mean_delay,difference_local_minus_full_mean_delay,local_makespan,full_makespan,difference_local_minus_full_makespan,local_total_replanning_runtime,full_total_replanning_runtime,difference_local_minus_full_total_replanning_runtime,local_total_algorithm_runtime,full_total_algorithm_runtime,difference_local_minus_full_total_algorithm_runtime,local_assignment_changes,full_assignment_changes,difference_local_minus_full_assignment_changes,local_successor_edge_changes,full_successor_edge_changes,difference_local_minus_full_successor_edge_changes,quality_gap_local_vs_full_percent,runtime_ratio_local_vs_full,assignment_reduction_percent,successor_reduction_percent
large,2000,local_vs_full,183d60e2cdcf2003365670fe670d0a73c568ebb9b656888f286b9c54178c5c24,13531.28665585756,13103.520002665638,427.76665319192216,24.64715237861122,23.867978146931947,0.7791742316792742,18.12342171499935,16.791927930710404,1.331493784288945,33.13839557498387,32.72618268925482,0.4122128857290477,131.95366989604273,129.8211986165289,2.1324712795138225,2.6769612999851238,74.19252880000568,-71.51556750002055,12.554764199987403,84.2168457000007,-71.6620815000133,53.0,465.0,-412.0,123.0,855.0,-732.0,3.2645171152858263,0.036081278577269886,88.6021505376344,85.6140350877193
large,2001,local_vs_full,672ec400c85f5432bd448ad022a995e3eba3983ac169c586f13c58af80dbb032,14162.736006229796,13714.997377731104,447.73862849869147,25.33584258717316,24.53487902993042,0.800963557242742,17.67975711601334,16.63093329434048,1.0488238216728618,36.27794945575841,36.18851362184407,0.08943583391433663,147.4850445334453,137.0388527402604,10.44619179318488,3.1667213999899104,77.87575480002852,-74.7090334000386,13.088651799989748,87.74767410002823,-74.65902230003849,97.0,534.0,-437.0,223.0,1017.0,-794.0,3.264591426212602,0.0406637650976418,81.83520599250936,78.07276302851524
large,2002,local_vs_full,287020d0a030676a3694155855031eb29ffe46a067239b86b764cc30e5fc7854,12812.11103502144,12637.822497221832,174.2885377996081,23.084884747786376,22.770851346345644,0.31403340144073155,17.99372847791338,17.356499404997262,0.6372290729161172,32.80103859362802,32.316845411196475,0.48419318243154663,134.9309545567839,130.71549443731303,4.215460119470862,2.177622800045356,63.93501860000106,-61.7573957999557,10.69447700004821,73.11678979999851,-62.422312799950305,70.0,456.0,-386.0,121.0,799.0,-678.0,1.3791025933298224,0.03405993847705426,84.64912280701753,84.85607008760951
large,2003,local_vs_full,e3a122e28070648af4b015f24fdcc90da1a9809f55d62de01aef15676acdde3a,11317.139481197524,10803.171241544853,513.9682396526714,22.190469570975537,21.18268870891148,1.007780862064056,17.747109044055133,17.305333737153067,0.44177530690206623,30.78795201658148,29.76677833439544,1.021173682186042,134.60027350967033,134.75140228547446,-0.15112877580412487,1.3469621999465744,32.13175880000199,-30.784796600055415,9.76161889994546,40.47476180000376,-30.7131429000583,51.0,343.0,-292.0,97.0,555.0,-458.0,4.7575682006792945,0.04191996486499491,85.13119533527697,82.52252252252252
large,2004,local_vs_full,5aac2a05239d252e3c651a725c664b04504a5d0373e3ce8ede6112656572b924,12658.646621876267,12430.912818919036,227.7338029572311,22.68574663418686,22.277621539281427,0.4081250949054329,18.782568407227306,17.929865180906283,0.8527032263210224,30.232776145164323,30.44455567380797,-0.21177952864364613,131.40202154823723,124.61160682732168,6.79041472091555,2.261588299974392,63.927145200024825,-61.66555690005043,10.874880499977737,72.38179480002145,-61.50691430004372,54.0,393.0,-339.0,119.0,689.0,-570.0,1.8319958178021778,0.03537758948718883,86.25954198473282,82.72859216255442
large,2005,local_vs_full,59e390d8ef25a6588f8918b95a9158b488d1d17ade16884f1deeb11a95f4303b,15242.112172587797,14364.955599014876,877.15657357292,26.693716589470743,25.15754045361624,1.5361761358545039,22.763200270123956,21.07139088764825,1.6918093824757072,32.468996294178694,30.95704961817959,1.5119466759991056,130.71909969743493,127.19401201984137,3.525087677593561,1.9744879999780096,51.64656630001991,-49.6720783000419,10.225951099972008,60.26776670001709,-50.041815600045084,67.0,332.0,-265.0,134.0,600.0,-466.0,6.106225442375024,0.0382307700478676,79.81927710843374,77.66666666666666
large,2006,local_vs_full,48b5e329a79874f5d8f4afff12ddf78ebd313ea5a79d03fcb9c2548d53cb7b83,14446.755061989172,14337.534450331868,109.22061165730338,25.569477985821543,25.37616716872897,0.19331081709257347,20.271833920765896,19.232833420795583,1.0390004999703137,32.990280597560776,33.433055625262256,-0.4427750277014795,127.37535439401992,126.03756227284792,1.3377921211720007,2.4068201999762096,56.3084728000249,-53.90165260004869,10.845473499975924,64.59550740002305,-53.75003390004713,61.0,424.0,-363.0,144.0,789.0,-645.0,0.7617809884653907,0.04274348211367482,85.61320754716981,81.74904942965779
large,2007,local_vs_full,54774571656a56f4f8198bd40ccc8a35c1532e0ca7629d3d7384174f64e47630,13149.861229945269,12570.915994767654,578.9452351776144,23.06993198236012,22.054238587311676,1.0156933950484444,17.189085817613865,16.711174983103355,0.4779108345105101,30.004900085212302,28.912878059097125,1.0920220261151776,130.57504133871217,121.4670507573854,9.107990581326774,1.7362345000146888,42.25919869997597,-40.52296419996128,10.265834100013308,50.83040209997125,-40.564567999957944,48.0,311.0,-263.0,106.0,567.0,-461.0,4.605433966932764,0.041085362558369476,84.56591639871382,81.30511463844798
large,2008,local_vs_full,e76b36348fd3ef603dc1c44588c3e0f9798957fd56a82cbf459b2f2bcd492dd8,11939.092166319797,11839.943403360645,99.14876295915201,22.87182407340957,22.68188391448399,0.18994015892558025,18.489848998100904,18.683610523232,-0.193761525131098,29.920221607585507,29.12326237239472,0.796959235190787,132.4873572249184,133.71498636134191,-1.2276291364235021,1.2062059000163572,29.36667890001263,-28.160472999996273,9.861238700017566,37.82279690001451,-27.961558199996944,62.0,274.0,-212.0,76.0,407.0,-331.0,0.8374090954776909,0.04107396359401874,77.37226277372264,81.32678132678133
large,2009,local_vs_full,769187e338af9678836384880be1cf9469f8b022b5fbd8a649a7e27f201cc207,11730.145154676233,11460.076233312033,270.0689213641999,23.366823017283327,22.82883711815146,0.5379858991318685,16.431007702774664,15.50201968680162,0.9289880159730437,33.102295869905504,33.636802043488444,-0.5345061735829404,132.99968868777762,129.00984061644357,3.989848071334052,2.063064400019357,59.45536749998428,-57.39230309996492,10.39047390002088,67.73419549997925,-57.34372159995837,67.0,453.0,-386.0,133.0,797.0,-664.0,2.3566066740390816,0.03469938016983753,85.20971302428256,83.31242158092849
