experiment,variant,scale,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint,run_status,initial_task_count,dynamic_task_count,total_task_count,completed_task_count,all_uavs_returned,time_consistency_pass,error_type,error_message
E5,local,small,2006,local,dubins,dubins,dubins,weighted_delay,20,3,2085.285743975149,18.786358053830174,21.820087914084993,17.592863577332757,110.9760497363861,232.49730620995825,78.0281999654244,3,7,6,10,0.07943399999930989,0.007167000003391877,0.0007167000003391877,0.002004900001338683,0.08660100000270177,3,1,True,True,0.08892300000297837,34a01d79689ecc854efe4cb16ff509810157698e70c94bb11e4b9788a2d4b171,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2007,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1331.4112296239928,17.291054930181723,20.758648815584024,14.974508239872836,106.66141231158839,204.16313827590955,80.90786021917043,3,8,5,10,0.04453739999735262,0.0015659000055165961,0.00015659000055165962,0.00027770000451710075,0.04610330000286922,0,0,True,True,0.04770229999849107,6736fbfe6c499921993f3e6f73e4f70f7b0fb904e08ce6daded872ef6591fe29,completed,10,10,20,20,True,True,,
E5,full,small,2007,full,dubins,dubins,dubins,weighted_delay,20,3,1422.6757947094893,18.47630902220116,21.71731823990013,16.48803813165468,105.62416683234163,219.48414578983562,80.90786021917043,3,7,6,10,0.046692199997778516,0.008152800000971183,0.0008152800000971183,0.002046000001428183,0.0548449999987497,4,0,True,True,0.05677339999965625,6736fbfe6c499921993f3e6f73e4f70f7b0fb904e08ce6daded872ef6591fe29,completed,10,10,20,20,True,True,,
E5,local,small,2007,local,dubins,dubins,dubins,weighted_delay,20,3,1392.973073249051,18.090559392844817,21.248286532505233,16.289053661655156,109.2626968324549,214.41675476800987,80.90786021917043,3,8,6,10,0.048322700000426266,0.007729700002528261,0.0007729700002528262,0.004070599999977276,0.05605240000295453,2,2,True,True,0.057812699997157324,6736fbfe6c499921993f3e6f73e4f70f7b0fb904e08ce6daded872ef6591fe29,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2008,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2000.1963330268545,18.693423673148175,20.490654421159878,17.1965391147203,129.3572462098148,224.82710470973294,79.08741583160398,3,8,5,10,0.10082059999695048,0.0031856999921728857,0.00031856999921728855,0.0007906000028015114,0.10400629998912336,0,0,True,True,0.10646439999982249,359ef88a4d1c0702f6121b7816a43ca9583b0cf8c86e8f83cb2fad5a1bf1df85,completed,10,10,20,20,True,True,,
E5,full,small,2008,full,dubins,dubins,dubins,weighted_delay,20,3,1866.7125423683008,17.4459116109187,19.270305993436192,15.34088298354463,129.3572462098148,187.83373970863124,79.08741583160398,3,9,5,10,0.11127739999938058,0.03355260000535054,0.0033552600005350543,0.015481499998713844,0.14483000000473112,6,8,True,True,0.14682790000370005,359ef88a4d1c0702f6121b7816a43ca9583b0cf8c86e8f83cb2fad5a1bf1df85,completed,10,10,20,20,True,True,,
E5,local,small,2008,local,dubins,dubins,dubins,weighted_delay,20,3,1898.3575193820127,17.741659059644977,19.688593765869296,15.13623458448711,129.3572462098148,176.73533279514777,79.08741583160398,3,9,5,10,0.09971409999707248,0.01072639998892555,0.001072639998892555,0.004044699999212753,0.11044049998599803,4,2,True,True,0.11262920000444865,359ef88a4d1c0702f6121b7816a43ca9583b0cf8c86e8f83cb2fad5a1bf1df85,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2009,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1966.9162483707723,16.52870796950229,17.561607005966387,13.939166023506612,120.94523925669218,213.4771407556158,67.62228587429564,3,8,6,10,0.06397819999983767,0.002244700001028832,0.0002244700001028832,0.0009586000014678575,0.0662229000008665,0,0,True,True,0.06891729999915697,2e41abe11e30219639ebd1824716dd43aff5143c57c53aa1d6c4c3b25a5d53f6,completed,10,10,20,20,True,True,,
E5,full,small,2009,full,dubins,dubins,dubins,weighted_delay,20,3,1964.1105960428317,16.50513105918346,17.821075028278635,13.939166023506612,120.94523925669218,229.60306498576517,67.62228587429564,3,8,6,10,0.06413359999714885,0.015113699992070906,0.0015113699992070906,0.01143469999806257,0.07924729998921975,1,0,True,True,0.08108099999662954,2e41abe11e30219639ebd1824716dd43aff5143c57c53aa1d6c4c3b25a5d53f6,completed,10,10,20,20,True,True,,
E5,local,small,2009,local,dubins,dubins,dubins,weighted_delay,20,3,1966.9162483707723,16.52870796950229,17.561607005966387,13.939166023506612,120.94523925669218,213.4771407556158,67.62228587429564,3,8,6,10,0.06305440000141971,0.004666499989980366,0.0004666499989980366,0.00143680000473978,0.06772089999140007,0,0,True,True,0.07005690000369214,2e41abe11e30219639ebd1824716dd43aff5143c57c53aa1d6c4c3b25a5d53f6,completed,10,10,20,20,True,True,,
E5,no_reorder,medium,2000,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,5506.494920091209,19.666053286040032,23.46814161043892,15.858183176674965,124.50107872232694,399.31587045914273,191.3778535141951,5,11,9,25,0.8041798999984167,0.03212319999875035,0.001284927999950014,0.004231999999319669,0.836303099997167,0,0,True,True,0.8427330999984406,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,completed,25,25,50,50,True,True,,
E5,full,medium,2000,full,dubins,dubins,dubins,weighted_delay,50,5,5322.249549098696,19.008034103923915,22.19733224041172,16.005249277557986,124.03358441301478,376.7867266385084,191.3778535141951,5,11,8,25,0.8335499999957392,1.25746500002424,0.0502986000009696,0.266574600005697,2.091015000019979,55,80,True,True,2.098507000002428,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,completed,25,25,50,50,True,True,,
