experiment,variant,turning_radius,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E3,euclidean_planned,5.0,1015,local,euclidean,euclidean,dubins,weighted_delay,20,3,2147.6211238247147,17.896842698539288,21.48624606564696,15.960047141430259,75.12084525927168,166.85223545911347,83.0371078521821,10,0.02564170000005106,0.003955700003643869,0.00039557000036438694,0.0006317999996099388,0.02959740000369493,4,1,True,True,0.03143319999981031,c035e5c63041f857c18dd6cc5e87d688f4537c88d366839965fdbc51ce0b5bdf
E3,dubins_aware,5.0,1016,local,dubins,dubins,dubins,weighted_delay,20,3,2533.750299467717,19.341605339448222,22.01277197741596,18.39535060219994,77.97506133514503,130.63353827134537,88.9418880002415,10,0.04563830000006419,0.035231300002124044,0.0035231300002124045,0.0068983000001026085,0.08086960000218824,4,14,True,True,0.08352990000093996,aeb0aefc7251cf8f04fda25229775f35a1288f9ce424c4ad0090ba1776930da1
E3,euclidean_planned,5.0,1016,local,euclidean,euclidean,dubins,weighted_delay,20,3,2615.780249840446,19.96778816672096,23.42004693407162,18.71461480302891,74.66835694716393,127.1787896970084,88.9418880002415,10,0.01232979999986128,0.01736259999779577,0.0017362599997795768,0.0037831999998161336,0.02969239999765705,9,24,True,True,0.0324068999998417,aeb0aefc7251cf8f04fda25229775f35a1288f9ce424c4ad0090ba1776930da1
E3,dubins_aware,5.0,1017,local,dubins,dubins,dubins,weighted_delay,20,3,2305.7259622576607,19.707059506475733,24.844116666832257,14.203274250159913,64.88757380313166,122.76874332830846,88.75922744057918,10,0.08260849999896891,0.05409549999785668,0.005409549999785668,0.01017120000142313,0.1367039999968256,8,14,True,True,0.1392286000009335,d3731cf6480733eee118034c6e2dcd91656cc7c7e6f081edb3c172430babecab
E3,euclidean_planned,5.0,1017,local,euclidean,euclidean,dubins,weighted_delay,20,3,2357.797196851741,20.152112793604623,24.929091062553884,14.874328866646932,66.06619454218077,122.77630800505749,88.75922744057918,10,0.02096979999987525,0.01787240000157908,0.001787240000157908,0.0031725999997433973,0.03884220000145433,3,18,True,True,0.041197599999577506,d3731cf6480733eee118034c6e2dcd91656cc7c7e6f081edb3c172430babecab
E3,dubins_aware,5.0,1018,local,dubins,dubins,dubins,weighted_delay,20,3,1458.8623587053562,14.735983421266225,14.714422092059525,15.063546893126933,77.07604994565041,164.0511758175169,73.0262949426363,10,0.09068810000098892,0.004256499998518848,0.0004256499998518848,0.0014336999993247446,0.09494459999950777,0,0,True,True,0.09677249999913329,93c6d838798c64b02f9a6e3036c99b338cfece021c5d8a6375bf7d4f9e772368
E3,euclidean_planned,5.0,1018,local,euclidean,euclidean,dubins,weighted_delay,20,3,1397.3165269290328,14.114308352818513,14.300437949780592,14.01548053379104,74.61024363775802,157.1729366004264,73.0262949426363,10,0.017377899999701185,0.001392699996358715,0.0001392699996358715,0.0004518000005191425,0.0187705999960599,0,0,True,True,0.0204011999994691,93c6d838798c64b02f9a6e3036c99b338cfece021c5d8a6375bf7d4f9e772368
E3,dubins_aware,5.0,1019,local,dubins,dubins,dubins,weighted_delay,20,3,2087.373013513794,18.805162283908054,22.066689387987733,16.06193426686027,73.34227192519236,151.1173053023079,78.72624021854828,10,0.05057420000048296,0.07996680000360357,0.007996680000360357,0.028390700001182267,0.13054100000408653,11,20,True,True,0.13282120000076247,fdeee0a6bca067d09484cad1fc234a3663de23c8fd59e6155993da0fd0be0efe
E3,euclidean_planned,5.0,1019,local,euclidean,euclidean,dubins,weighted_delay,20,3,2112.1340570676807,19.028234748357484,22.059455167407187,16.752454600125326,68.7477450769567,143.27767094826294,78.72624021854828,10,0.022113200000603683,0.021186599999055034,0.002118659999905503,0.0057899000003089895,0.04329979999965872,8,17,True,True,0.0461444999982632,fdeee0a6bca067d09484cad1fc234a3663de23c8fd59e6155993da0fd0be0efe
E3,dubins_aware,5.0,1020,local,dubins,dubins,dubins,weighted_delay,20,3,1982.2606850269392,16.79881936463508,20.881878686808584,13.556127254905839,76.23743028756705,141.98600586394605,78.05971687783364,10,0.08685270000023593,0.01807800000278803,0.001807800000278803,0.0036937000004400034,0.10493070000302396,6,4,True,True,0.10744869999871298,61fa3abaf3043c30451a4bd971b70138c2eba799e0be32faf509c446e3eb48fe
E3,euclidean_planned,5.0,1020,local,euclidean,euclidean,dubins,weighted_delay,20,3,2028.408321135743,17.189901026574095,22.41044802519273,12.84515483543823,73.02020984253375,145.73164017319917,78.05971687783364,10,0.02546030000121391,0.009471399998801644,0.0009471399998801644,0.002473999998983345,0.03493170000001555,9,12,True,True,0.037476400000741705,61fa3abaf3043c30451a4bd971b70138c2eba799e0be32faf509c446e3eb48fe
E3,dubins_aware,5.0,1021,local,dubins,dubins,dubins,weighted_delay,20,3,2122.369515423839,15.052266066835736,16.07664039676913,14.462169720477517,69.00445815304546,154.60574612732697,73.44618583211839,10,0.09033869999984745,0.011301099999400321,0.001130109999940032,0.00781240000105754,0.10163979999924777,2,4,True,True,0.10346120000031078,ac88b63c4a1a0124efc75b7eee8c2fdc2d1372e20c0e691da1ca89c2919980fb
E3,euclidean_planned,5.0,1021,local,euclidean,euclidean,dubins,weighted_delay,20,3,2256.7972701025174,16.005654397890194,18.6947040489821,15.119400100634623,71.62285802969761,164.48069911095155,73.44618583211839,10,0.02546280000024126,0.006908000001203618,0.0006908000001203618,0.004016599999886239,0.03237080000144488,4,4,True,True,0.035093500000584754,ac88b63c4a1a0124efc75b7eee8c2fdc2d1372e20c0e691da1ca89c2919980fb
E3,dubins_aware,5.0,1022,local,dubins,dubins,dubins,weighted_delay,20,3,1681.3499203656365,16.16682615736189,17.134975210399965,12.483402061126869,67.78289303128062,148.1421982872748,79.60962116856413,10,0.04748440000003029,0.004386799999338109,0.0004386799999338109,0.0007642000000487315,0.0518711999993684,1,0,True,True,0.0539520000002085,9bbc0ed093bd2b3aa42be4d96cde9143b471ddf7ea341e0a88934604ce24898c
E3,euclidean_planned,5.0,1022,local,euclidean,euclidean,dubins,weighted_delay,20,3,1728.8953782629144,16.623994021758794,18.38848662924877,12.355436447448165,73.86460256574209,158.0447885520664,79.60962116856413,10,0.03378560000055586,0.0023957999983394984,0.00023957999983394984,0.00048659999993105885,0.03618139999889536,3,1,True,True,0.03810410000005504,9bbc0ed093bd2b3aa42be4d96cde9143b471ddf7ea341e0a88934604ce24898c
E3,dubins_aware,5.0,1023,local,dubins,dubins,dubins,weighted_delay,20,3,1837.1933904579412,16.701758095072194,17.74264744766908,16.391257475741714,66.48325996306738,151.6009401583381,76.22181400262484,10,0.04447040000013658,0.013293300002260366,0.0013293300002260367,0.006870700000945362,0.057763700002396945,3,2,True,True,0.06014279999908467,fce8878b749530555cf3020949f9aba07404bb86d29d33380ec1ea6bf1e76dd6
E3,euclidean_planned,5.0,1023,local,euclidean,euclidean,dubins,weighted_delay,20,3,1744.1270364169582,15.855700331063256,17.105096238298046,14.0498470921363,65.35922801060137,141.92529356960154,76.22181400262484,10,0.01986610000130895,0.005323699999280507,0.0005323699999280507,0.0017620999988139374,0.025189800000589457,8,3,True,True,0.027336700000887504,fce8878b749530555cf3020949f9aba07404bb86d29d33380ec1ea6bf1e76dd6
E3,dubins_aware,5.0,1024,local,dubins,dubins,dubins,weighted_delay,20,3,1522.8427862818746,16.20045517321143,19.221418870560747,12.116970725749113,70.96975306850267,130.94656981423003,80.90978544727989,10,0.05627690000073926,0.0175122000000556,0.00175122000000556,0.005954500000370899,0.07378910000079486,1,1,True,True,0.0758135999985825,9b72ad38d4b96ba901e0b95edb143f84707eec8d7fbd965977edb9dc4fa72291
E3,euclidean_planned,5.0,1024,local,euclidean,euclidean,dubins,weighted_delay,20,3,1558.879694931843,16.583826541828117,19.173662527868117,13.624256712623835,70.23992994482187,130.55495611088838,80.90978544727989,10,0.019490399999995134,0.010648199991919682,0.0010648199991919681,0.0037229999998089625,0.030138599991914816,6,9,True,True,0.033073299999159644,9b72ad38d4b96ba901e0b95edb143f84707eec8d7fbd965977edb9dc4fa72291
E3,dubins_aware,5.0,1025,local,dubins,dubins,dubins,weighted_delay,20,3,1814.6542840866118,15.509865675953947,17.36519814310094,14.282278751740998,75.7960924664523,160.67241745381222,76.94788546796208,10,0.046897600001102546,0.0207230999985768,0.0020723099998576798,0.006731199999194359,0.06762069999967935,6,5,True,True,0.07011719999900379,2dada56c9e8641ba754bb31b192c7a218a304d9d26a9f38abc7bf54c6fd2e866
E3,euclidean_planned,5.0,1025,local,euclidean,euclidean,dubins,weighted_delay,20,3,1847.8617682342292,15.793690326788283,17.33589016780453,14.826407119149726,75.49401850215013,159.24054748833578,76.94788546796208,10,0.012100500000087777,0.005007299996577785,0.0005007299996577785,0.0016226999996433733,0.017107799996665563,2,4,True,True,0.01914530000067316,2dada56c9e8641ba754bb31b192c7a218a304d9d26a9f38abc7bf54c6fd2e866
E3,dubins_aware,5.0,1026,local,dubins,dubins,dubins,weighted_delay,20,3,1701.876969288304,14.545957002464137,17.900924696128314,11.709879131815795,69.00561520650571,137.96656779368718,77.87241057760765,10,0.08674109999992652,0.01573379999717872,0.001573379999717872,0.00529389999974228,0.10247489999710524,3,3,True,True,0.10456720000001951,5f4a4b960c9a6f0bd308925cc9de3d9162fd001ff32e2f4b574aaf07d2277d97
E3,euclidean_planned,5.0,1026,local,euclidean,euclidean,dubins,weighted_delay,20,3,1768.6784156013503,15.116909535054276,17.388790638589416,13.528407882259453,69.00561520650571,145.94559804798763,77.87241057760765,10,0.018253600001116865,0.004794199996467796,0.0004794199996467796,0.001548799999000039,0.02304779999758466,1,1,True,True,0.025258700001359102,5f4a4b960c9a6f0bd308925cc9de3d9162fd001ff32e2f4b574aaf07d2277d97
E3,dubins_aware,5.0,1027,local,dubins,dubins,dubins,weighted_delay,20,3,2383.3775864766258,17.654648788715747,20.024179653794643,17.507300505087134,73.69546028212284,156.3191702422667,87.49322741588529,10,0.08180950000132725,0.027309899996907916,0.0027309899996907916,0.007573999999294756,0.10911939999823517,3,5,True,True,0.11136369999985618,046932287768aa9f5c056982c787a5272230e709491f8b14a69231d3474a2a2d
E3,euclidean_planned,5.0,1027,local,euclidean,euclidean,dubins,weighted_delay,20,3,2500.0774759008737,18.519092414080546,20.65316461358152,18.05706767962511,76.6656374029426,167.6472705400827,87.49322741588529,10,0.01403279999976803,0.009315799996329588,0.0009315799996329587,0.002440500000375323,0.02334859999609762,4,9,True,True,0.025638299999627634,046932287768aa9f5c056982c787a5272230e709491f8b14a69231d3474a2a2d
