experiment,variant,scale,h,source,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint,run_status,initial_task_count,dynamic_task_count,total_task_count,completed_task_count,all_uavs_returned,time_consistency_pass,error_type,error_message
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2006,local,dubins,dubins,dubins,weighted_delay,50,5,5114.87893230226,19.22886816654985,24.3644362752767,16.89320402188318,129.35076698855204,392.0615792755881,201.74015099089073,5,11,9,25,0.7927315000051749,0.1834174000105122,0.0073366960004204885,0.03507629999512574,0.9761489000156871,14,13,True,True,0.9842537999938941,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2007,local,dubins,dubins,dubins,weighted_delay,50,5,5571.479915088231,20.259926963957202,24.94321505561845,16.124750086912986,117.90898186748134,361.64059102675884,190.5550986448777,5,10,10,25,0.794470500004536,0.15083490001416067,0.006033396000566427,0.038677099997585174,0.9453054000186967,16,15,True,True,0.9532966999977361,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2008,local,dubins,dubins,dubins,weighted_delay,50,5,5396.025791897804,21.412800761499224,28.0160542835397,16.822219963114943,129.04268579104664,371.1040972779607,208.34137580730248,5,11,9,25,0.8029421000028378,0.19797630001266953,0.007919052000506781,0.03261229999770876,1.0009184000155074,16,25,True,True,1.010495999995328,e731c197d7bbaac9d6ba09c757ab693dcf692adad87e97e8d7d7e66e6a3dad33,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2009,local,dubins,dubins,dubins,weighted_delay,50,5,6614.5688743740775,23.708132166215332,28.74251114630122,15.967304042236702,122.294534845878,344.2922834000461,210.12634601682205,5,11,9,25,0.805854599995655,0.5694966999944882,0.022779867999779525,0.09048090000578668,1.3753512999901432,28,53,True,True,1.3837332000039169,4fe2e03f587c3c24d53a81c67b90ea42fadfb6aa861f808a7432fd94bed68b88,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2000,local,dubins,dubins,dubins,weighted_delay,50,5,5378.059957236856,19.207356990131625,22.563114052573518,16.655170079559188,123.48981390621242,385.5923914367726,191.3778535141951,5,11,8,25,0.9392575000001671,0.4809227000005194,0.019236908000020776,0.10594460000038453,1.4201802000006865,21,32,True,True,1.4319169999998849,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2001,local,dubins,dubins,dubins,weighted_delay,50,5,5892.1111544928235,21.194644440621666,23.913678786026935,19.855062559214673,118.59827634529745,335.96778220541023,207.87694922947452,5,11,9,25,0.9636713999998392,0.3111789999998109,0.012447159999992437,0.10665990000006786,1.27485039999965,21,13,True,True,1.2878764999995838,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2002,local,dubins,dubins,dubins,weighted_delay,50,5,5845.036740279315,20.875131215283268,28.84383629785356,16.92141472752156,120.27358067815835,371.8747951858453,196.9045927517407,5,11,9,25,0.8941988000001402,0.7120001000007505,0.02848000400003002,0.10703209999974206,1.6061989000008907,23,45,True,True,1.619641700000102,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2003,local,dubins,dubins,dubins,weighted_delay,50,5,6032.600392843319,20.730585542416904,25.89466922699116,19.04666373811932,128.26449279875473,365.60460658266993,209.93931168299304,5,11,9,25,0.9541424999997616,0.5783755000002202,0.023135020000008808,0.08562410000013188,1.5325179999999818,25,44,True,True,1.545995800000128,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2004,local,dubins,dubins,dubins,weighted_delay,50,5,5349.813392723298,19.741008829237263,25.284276453520764,16.902031270762794,114.84722906996858,342.1541658877671,201.27825987228837,5,11,9,25,0.9523511000002145,0.45379129999992074,0.01815165199999683,0.10584190000008675,1.4061424000001352,29,36,True,True,1.4200300000002244,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2005,local,dubins,dubins,dubins,weighted_delay,50,5,5287.633370668419,20.105069850450263,26.31382448549126,17.156290643718517,119.11224287861893,353.4297507728313,201.22789406069546,5,12,9,25,0.91621269999996,0.5100543999997171,0.020402175999988684,0.10387840000021242,1.4262670999996772,29,29,True,True,1.4374649000001227,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2006,local,dubins,dubins,dubins,weighted_delay,50,5,5200.867304815922,19.552132724871885,24.436980114498834,17.321937121805203,130.84662168644184,402.73467092437204,201.74015099089073,5,11,9,25,0.954888100000062,0.3959829000004902,0.01583931600001961,0.10549249999985477,1.3508710000005522,20,26,True,True,1.3638852999997653,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2007,local,dubins,dubins,dubins,weighted_delay,50,5,5555.560642870211,20.202038701346222,24.47781820187575,16.647048176854547,119.1618544312945,359.9012732725375,190.5550986448777,5,12,9,25,0.9338536999998723,0.47014260000105423,0.01880570400004217,0.10660090000010314,1.4039963000009266,33,34,True,True,1.4161689000002298,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2008,local,dubins,dubins,dubins,weighted_delay,50,5,5316.952793590752,21.099019022185523,27.309496291542633,16.6016742935651,130.65155005640395,374.0700103845844,208.34137580730248,5,12,9,25,0.9328116000001501,0.5835625000013351,0.023342500000053404,0.1062885000001188,1.5163741000014852,26,50,True,True,1.5297875999999633,e731c197d7bbaac9d6ba09c757ab693dcf692adad87e97e8d7d7e66e6a3dad33,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h3,medium,3,new_run,2009,local,dubins,dubins,dubins,weighted_delay,50,5,6462.319575794128,23.162435755534506,27.872694812856885,16.426339015887294,120.21840133345871,330.21202857320606,210.12634601682205,5,11,8,25,0.9508452000000034,1.3122812999995404,0.052491251999981614,0.1098783999996158,2.2631264999995437,38,83,True,True,2.2794561999999132,4fe2e03f587c3c24d53a81c67b90ea42fadfb6aa861f808a7432fd94bed68b88,completed,25,25,50,50,True,True,,
